item_id,subsystem,qty,procurement_state,component,source_spec,current_decision,verification_gate,license_boundary,notes
D001,mechanical,1,BLOCKED,D-O functional mechanical package,"Baddeley Patreon V2; Denton V1 free WIP; JRIZZ Cults paid WIP",Select a route only after licence provenance archive completeness and revision are recorded,"Denton: audit missing head/STEP and provenance; paid routes: require explicit purchase confirmation and exact file inventory",Free listing or paid access does not by itself prove a complete openly redistributable package,Static Printables and Gambody articulation files are reference-only and cannot replace a driveable package
D002,mechanical,1,REFERENCE_ONLY,60 mm wheel-off test stand,Public STL from Printed Droid,Use only as a local bench aid if its terms are acceptable,Confirm dimensions fit the chosen chassis and do not redistribute,No explicit redistribution license found,Not a complete robot model
D003,mechanical,1,BLOCKED,Complete fastener bearing shaft and printed-part set,Not fully specified in the public control repository,Freeze only after the licensed CAD package and assembly guide are reconciled,Generate a drawing-derived fastener and bearing count,Depends on the purchased mechanical package,Do not purchase bulk hardware from video estimates alone
D010,control,1,READY_TO_SOURCE,Arduino Mega 2560,v3.4.3 requires a Mega and Serial1 for iBus,Use a genuine or electrically compatible Mega 2560,Compile and upload the pinned v3.4.3 sketch,Controller source is personal non-commercial with notice retention,Current local compile gate passes
D011,motor_control,TBD,HOLD_CONFLICT,Cytron motor driver,Root README says one MDD10A dual-channel while v3.4 README says two MD10C,Do not buy until board architecture and motor peak current are frozen,Confirm PWM DIR compatibility voltage continuous current peak current thermal path and fuse rating,Product hardware terms apply separately from firmware,The public source is internally inconsistent
D012,sensing,1,READY_TO_SOURCE,MPU6050-compatible IMU,MPU6050 MPU6500 MPU9250 or MPU6886 at I2C 0x68 or 0x69,Prefer one known-good module with documented logic voltage,Pass WHO_AM_I axis test calibration and 400 kHz I2C run,Module vendor terms apply,Wire Mega D20 SDA and D21 SCL
D013,radio,1,READY_TO_SOURCE,10-channel iBus receiver,v3.4 recommends FS-RX2A Pro and warns FS-iA6B exposes only 6 channels,Use a receiver that exposes all 10 control channels over iBus,Menu t must show SIGNAL OK and every mapped channel,Radio compliance and product terms apply,iBus signal enters Mega D19 and requires common ground
D014,radio,1,READY_TO_SOURCE,Compatible RC transmitter,Default map consumes channels 1 through 10,Use a transmitter that can operate the receiver in 10-channel mode,Record failsafe behavior and complete menu p mapping,Product terms apply,Keep a physical power cut-off even when software failsafe is configured
D015,audio,1,READY_TO_SOURCE,DFPlayer Mini,v3.4 drives it from Mega D7 and D8,Use with a FAT16 or FAT32 microSD,Pass startup playback volume and brownout tests,Module terms apply,Sound files are not included and must be lawfully sourced
D016,audio,1,READY_TO_SOURCE,MicroSD card,Repository requires FAT16 or FAT32 and four-digit filenames,Small reliable card formatted FAT32,Verify 0001.mp3 through 0032.mp3 address correctly,Audio copyright remains separate,Copy order is irrelevant in v3.4.3
D017,audio,1,READY_TO_SOURCE,Speaker,Repository states 8 ohm below 3 W,Select only after enclosure volume and desired loudness are known,Check distortion module temperature and supply noise,Product terms apply,Do not exceed the DFPlayer output capability
D018,actuation,4,HOLD_LOAD_UNKNOWN,Mainbar and head servos,Repository says four standard servos and also says SG90 or similar,Do not freeze model until required torque speed travel and packaging are measured,Measure static and dynamic load then require at least 2x torque margin,Product terms apply,The wording standard servo versus SG90 micro-servo is not a dependable mechanical specification
D019,actuation,2,HOLD_LOAD_UNKNOWN,Drive motors and gearboxes,Exact motor model ratio encoder and stall current are absent from the public repository,Select only after wheel diameter mass center of gravity and target acceleration are known,Measure no-load current stall current wheel torque speed and thermal rise,Product terms apply,The README current figures are source claims and not a safe motor selection basis
D020,power,2,PROVISIONAL,2S LiPo packs in series,Repository states 4S total 16.8 V full 14.8 V nominal and 12.0 V empty,Use only after the motor and regulator voltage limits are confirmed,Capacity C-rating connector and fuse must pass measured peak-current test,Battery vendor and transport rules apply,Never series-connect unmatched state-of-charge packs
